iter	Passed	Remaining
688	23251	10495
689	23292	10464
690	23294	10416
691	23341	10389
692	23342	10340
693	23343	10292
694	23345	10244
695	23346	10197
696	23347	10149
697	23348	10102
698	23349	10054
69698	23442	1009700	23440	9998
701	23443	9951
702	23511	9932
703	23513	9886
704	23574	9864
705	23583	9820
706	23600	9780
707	23602	9734
708	23604	9688
709	23665	9666
710	709	23765	9706
710	23871	9703
711	23931	9680
712	23987	9655
713	23992	9610
714	23993	9563
715	24039	9535
716	24069	9500
717	24077	9456
718	24111	9423
719	24135	9386
720	24146	9343
721	24153	9300
722	24217	9724	723	24229	9236
724	24273	9207
725	24314	9176
726	24315	9131
727	24362	9729	24325	8997
730	729	24511	9065
730	24580	9045
731	24633	9018
732	24635	8973
733	24651	8933
734	24699	8905
735	24774	8886
736	24779	8842
737	24879	8832
738	24885	8788
739	24915	8754
740	24958	8723
741	24960	8679
742	24966	8635
743	25068	8625
744	25115	8596
745	25117	8552
746	25119	8507
747	25185	8485
748	25190	8441
749	25240	8413
750	25249	8371
751	25264	8332
752	25446	8347
753	25456	8305
754	25458	8261
755	25511	8233
756	25588	8213
757	25598	8172
758	25605	8130
759	25607	8086
760	25628	8048
761	25680	8020
762	25681	7977
763	25683	7933
764	25688	7891
765	25721	7857
766	25814	7841
767	25877	7817
768	25927	7788
769	25931	7745
770	26015	7727
771	26056	7695
772	26076	7657
773	26080	7615
774	26143	7589
775	26147	7547
776	26154	7506
777	26155	7463
778	26156	7420
779	26157	7377
780	26159	7335
781	26285	7327
782	26328	7296
783	26330	7254
784	26331	7211
785	26333	7169
786	26335	7127
787	26373	7095
788	26398	7059
789	26403	7018
790	26432	6984
791	26504	6960
792	26588	6940
793	26594	6899
794	26651	6872
795	26663	6833
796	26701	6800
797	26710	6761
26238	6559
800	26241	6519
801	26245	6479
802	26266	6443
803	26269	6404
804	26305	6372
805	26311	6333
806	26315	6293
807	26359	6263
808	26395	6231
809	26406	6194
810	26431	6159
811	26511	61814	26566	6030
815813	26622	60816	26673	5974
	25261	5507
821	25326	5484
822	25327	5447
823	25331	5410
824	25381	5383
825	25419	5354
826	25422	5318
827	25423	5281
828	25449	5249
829	25470	5216
830	25476	5181
831	25522	5153
832	25527	5117
833	25529	5081
834	25530	5045
835	25532	5008
836	25556	4977
837	25608	4950
838	25610	4914
839	25614	4878
840	25617	4843
841	25620	4807
842	25622	4771
843	25624	4736
844	25690	4712
845	25702	4678
846	25705	4643
847	25707	4608
848	25710	4572
849	25721	4539
850	25722	4503
851	25729	4469
852	25870	4458
853	25872	4423
854	25874	4388
855	25875	4352
